payment_currency_key,receiving_currency_key,transaction_count,laundering_count,total_amount_paid,total_amount_received
5,8,1833,0,284669173.19000000,313790587.10000000
5,9,244,0,3172.20000000,0.34484700
5,10,208,0,62406482.66000000,113882560.19000000
5,11,613,0,4735689884.51000000,129329843447.33000000
5,12,428,0,32853766.95000000,143305567.64000000
5,13,124,0,3439031.11000000,25082005.92000000
5,14,330,0,273753540.91000000,323539769.80000000
5,15,22,0,8262808.99000000,783846218.98000000
6,1,30457,0,52536439378.37000000,351868056366.86000000
6,2,12239,0,3392207658.49000000,4475339564.26000000
6,3,11975,0,222495476503.36000000,17311038053948.89000000
6,4,6473,0,1640411949.78000000,6153349262.71000000
6,5,12588,0,1801665647.15000000,1394849542.85000000
6,6,11430671,14292,3554439156031.71000000,3554439156031.71000000
6,7,10965,0,266002379001.49000000,28036650747001.65000000
6,8,104209,0,22671455057.83000000,19347819746.15000000
6,9,7347,0,254455.05000000,21.41508600
6,10,10731,0,5553763760.60000000,7846357438.05000000
6,11,9646,0,20991434205.91000000,443823992616.43000000
6,12,15152,0,8566493242.02000000,28929047683.27000000
6,13,6949,0,7116592706.24000000,40183840705.94000000
6,14,9899,0,1480293146.41000000,1354468228.46000000
6,15,8948,0,44672272477.74000000,3280910379909.93000000
7,1,328,0,4540902692.10000000,288549809.09000000
7,2,141,0,10223481.25000000,127967.98000000
7,3,446,0,25560646215.25000000,18868316111.40000000
7,4,76,0,218233908.51000000,7766766.62000000
7,5,305,0,13907865.03000000,102158.22000000
7,6,6927,0,59334280451.34000000,562943836.87000000
7,7,845439,1114,52571574583608.09000000,52571574583608.09000000
7,8,1187,0,12517316195.39000000,101349882.84000000
7,9,72,0,1939129.68000000,1.54837300
7,10,171,0,2277567.94000000,30529.01000000
7,11,267,0,315550877.02000000,63299087.04000000
7,12,268,0,147330943.89000000,4720461.12000000
7,13,174,0,23996647.48000000,1285550.90000000
7,14,221,0,4004236.38000000,34761.38000000
7,15,110,0,61486381.60000000,42844457.57000000
8,1,5084,0,2792269904.14000000,21914116369.74000000
8,2,2095,0,95230079.62000000,147219410.12000000
8,3,2026,0,156357975126.64000000,14255069014252.13000000
8,4,655,0,7689369879.85000000,33798447802.76000000
8,5,1892,0,351270456.35000000,318670713.45000000
8,6,81120,0,40574397670.07000000,47544407864.41000000
8,7,2025,0,3149837054.12000000,389023699933.13000000
8,8,7210831,9710,1749869663569.58000000,1749869663569.58000000
8,9,1059,0,36058.73000000,3.55606500
8,10,1705,0,1023293137.66000000,1694057352.12000000
8,11,1490,0,1593076761.40000000,39468691460.83000000
8,12,2142,0,2185407452.31000000,8647903638.67000000
8,13,1212,0,285553972.16000000,1889360801.66000000
8,14,1286,0,15568551.31000000,16692317.14000000
8,15,1336,0,2393448023.44000000,205981247514.98000000
9,1,9,0,0.31834100,25333.80000000
9,2,20,0,0.32495500,5093.94000000
9,3,3,0,0.01236800,11433.67000000
9,5,8,0,0.03655400,336.27000000
9,6,55,0,0.48791100,5797.33000000
9,7,15,0,0.03097100,38789.19000000
9,8,77,0,2.53410000,25696.03000000
9,9,688694,244,23885072.35579500,23885072.35579500
9,10,6,0,0.01750500,293.86000000
9,11,7,0,0.03129700,7862.45000000
9,12,2,0,0.02678900,1074.96000000
9,13,9,0,0.05412000,3630.94000000
9,14,4,0,0.01408500,153.12000000
9,15,5,0,0.05158700,45017.98000000
10,1,65,0,344393.92000000,1632653.35000000
10,2,26,0,39833.36000000,37197.17000000
10,3,2,0,76.82000000,4230.59000000
10,4,31,0,211619.65000000,561867.53000000
10,5,17,0,28254.48000000,15483.19000000
10,6,808,0,18241475.43000000,12911576.58000000
10,7,27,0,6434765.96000000,480056857.98000000
10,8,495,0,18138296.16000000,10956414.33000000
10,9,28,0,17344.95000000,1.03324700
10,10,916834,737,419013220477.62000000,419013220477.62000000
10,11,45,0,410894.33000000,6149192.69000000
10,12,105,0,229782.09000000,549245.29000000
10,13,42,0,556478.91000000,2224064.53000000
10,14,33,0,535014.93000000,346502.39000000
10,15,11,0,29097.71000000,1512636.47000000
11,1,86,0,152905.09000000,48436.46000000
11,2,16,0,87161.81000000,5438.78000000
11,3,2,0,2272.80000000,8363.62000000
11,4,48,0,396091.15000000,70272.42000000
11,5,15,0,18868.49000000,690.92000000
11,6,1313,0,183424390.44000000,8675378.57000000
11,7,10,0,213863.71000000,1066127.21000000
11,8,535,0,3693546.38000000,149082.73000000
11,9,18,0,564984.72000000,2.24894700
11,10,4,0,5594.51000000,373.84000000
11,11,838922,346,4802431357670.27000000,4802431357670.27000000
11,12,115,0,1722074.42000000,275051.73000000
11,13,25,0,80108.32000000,21393.81000000
11,14,138,0,368845.83000000,15962.38000000
11,15,10,0,37592.75000000,130584.55000000
12,1,32,0,12622.01000000,25033.14000000
12,2,18,0,3239.76000000,1265.69000000
12,3,4,0,4422.10000000,101882.41000000
12,4,29,0,277970.74000000,308764.01000000
12,5,31,0,15279.81000000,3502.98000000
12,6,295,0,1033667.78000000,306090.64000000
12,7,24,0,5374.66000000,167748.60000000
12,8,231,0,323434.96000000,81735.11000000
12,9,51,0,22327.71000000,0.55644600
12,10,13,0,5074.90000000,2123.13000000
12,11,14,0,5905.83000000,36975.97000000
12,12,1407929,658,1519911189358.99000000,1519911189358.99000000
12,13,12,0,185890130.85000000,310816885.96000000
12,14,15,0,22411.20000000,6072.33000000
12,15,9,0,2295.98000000,49933.62000000
13,1,23,0,29284.61000000,34735.92000000
13,2,10,0,2440.99000000,570.34000000
13,3,1,0,17.40000000,239.83000000
13,4,15,0,74338.85000000,49385.07000000
13,5,9,0,331255.11000000,45418.89000000
13,6,345,0,25327159.66000000,4485461.56000000
13,7,9,0,60304.40000000,1125667.74000000
13,8,203,0,569258.93000000,86036.69000000
13,9,28,0,261648.89000000,3.89987300
13,10,5,0,49594.14000000,12408.86000000
13,11,8,0,10914.70000000,40869.63000000
13,12,61,0,625715128.94000000,374221197.28000000
13,13,628744,279,968186437910.41000000,968186437910.41000000
13,14,42,0,89970.59000000,14579.50000000
13,15,7,0,2970.70000000,38640.03000000
14,1,96,0,266568.36000000,1951221.87000000
14,2,10,0,259.07000000,373.55000000
14,3,3,0,332.26000000,28253.12000000
14,4,86,0,13181296.40000000,54037552.92000000
14,5,15,0,1023.92000000,866.36000000
14,6,829,0,506697133.72000000,553767359.21000000
14,7,11,0,2319.71000000,267213.77000000
14,8,244,0,3876981.29000000,3615973.56000000
14,9,49,0,20574.55000000,1.89242800
14,10,2,0,102.59000000,158.39000000
14,11,2,0,105.55000000,2439.04000000
14,12,157,0,1214215.02000000,4481315.84000000
14,13,10,0,392.40000000,2421.64000000
14,14,843096,330,208692477727.12000000,208692477727.12000000
14,15,13,0,841.83000000,67570.20000000
15,1,226,0,54963772.47000000,5012327.40000000
15,2,236,0,3728560.11000000,66977.34000000
15,3,240,0,1369986869.35000000,1451316083.04000000
15,4,197,0,4946619.09000000,252645.28000000
15,5,111,0,7697883.55000000,81146.20000000
15,6,5465,0,2728111016.51000000,37145458.46000000
15,7,71,0,632553396579.17000000,907781820154.69000000
15,8,1049,0,16521147598.13000000,191971398.37000000
15,9,24,0,987313.61000000,1.13138500
15,10,147,0,4811808.06000000,92561.95000000
15,11,193,0,31289704.17000000,9007697.47000000
15,12,248,0,5467392.06000000,251393.75000000
15,13,132,0,51689660.83000000,3973989.28000000
15,14,158,0,1751849.55000000,21825.30000000
15,15,730221,830,18501473022631.61000000,18501473022631.61000000
