date_key,payment_currency_key,payment_format_key,transaction_count,laundering_count,laundering_rate_percent,total_amount_paid
20220901,6,6,251232,39,0.015524,1048152166.25000000
20220901,6,7,99382,24,0.024149,117167515096.58000000
20220901,7,1,52987,0,0.000000,1370683974214.34000000
20220901,7,2,2769,0,0.000000,328239274149.99000000
20220901,7,3,9802,17,0.173434,2552715907130.27000000
20220901,7,4,30942,1,0.003232,4249311437370.58000000
20220901,7,6,18656,2,0.010720,21668017161.86000000
20220901,7,7,7370,0,0.000000,2040733280742.77000000
20220901,8,1,469255,0,0.000000,104338756607.61000000
20220901,8,2,23918,0,0.000000,17999808129.32000000
20220901,8,3,79955,187,0.233882,269402235535.35000000
20220901,8,4,237994,48,0.020169,242195841944.63000000
20220901,8,5,6,0,0.000000,24649.64000000
20220901,8,6,159204,32,0.020100,564665263.83000000
20220901,8,7,62508,15,0.023997,73685281148.90000000
20220901,9,2,3,0,0.000000,0.07624800
20220901,9,3,11,0,0.000000,0.31876600
20220901,9,5,92721,16,0.017256,4350160.39335700
20220901,10,1,55675,0,0.000000,19034796017.32000000
20220901,10,2,3106,0,0.000000,4753157591.30000000
20220901,10,3,8809,15,0.170280,20064943228.55000000
20220901,10,4,30992,9,0.029040,75111342559.52000000
20220901,10,5,1,0,0.000000,2008.86000000
20220901,10,6,20390,2,0.009809,122691578.41000000
20220901,10,7,8140,1,0.012285,17493566173.40000000
20220901,11,1,50986,0,0.000000,274915177785.48000000
20220901,11,2,2746,0,0.000000,31546321430.87000000
20220901,11,3,8997,16,0.177837,211289648295.31000000
20220901,11,4,30264,9,0.029738,739805767533.13000000
20220901,11,6,18435,1,0.005424,2122088171.51000000
20220901,11,7,7420,0,0.000000,177154968620.45000000
20220901,12,1,86457,0,0.000000,73785676893.67000000
20220901,12,2,4660,0,0.000000,9830909674.63000000
20220901,12,3,13945,19,0.136250,57219366963.82000000
20220901,12,4,48289,5,0.010354,157766986563.94000000
20220901,12,5,2,0,0.000000,100947.87000000
20220901,12,6,30747,7,0.022766,447742923.23000000
20220901,12,7,12459,3,0.024079,41313350603.27000000
20220901,13,1,38220,0,0.000000,57514297893.97000000
20220901,13,2,2112,0,0.000000,6964850851.33000000
20220901,13,3,6460,14,0.216718,25448308403.93000000
20220901,13,4,21590,6,0.027791,163693209304.48000000
20220901,13,6,13811,2,0.014481,347406303.41000000
20220901,13,7,5636,2,0.035486,47445069291.07000000
20220901,14,1,52057,0,0.000000,11601520871.20000000
20220901,14,2,2817,0,0.000000,1901103480.21000000
20220901,14,3,8255,10,0.121139,5267060434.01000000
20220901,14,4,28080,2,0.007123,29323760946.16000000
20220901,14,5,1,0,0.000000,8585.60000000
20220901,14,6,18386,3,0.016317,70879770.19000000
20220901,14,7,7457,5,0.067051,10887776587.85000000
20220901,15,1,43454,0,0.000000,772140674937.52000000
20220901,15,2,2444,0,0.000000,275564141720.75000000
20220901,15,3,8160,7,0.085784,389633365814.23000000
20220901,15,4,26548,4,0.015067,1794708764313.32000000
20220901,15,5,1,0,0.000000,25785266.20000000
20220901,15,6,16060,3,0.018680,11278909185.20000000
20220901,15,7,6522,1,0.015333,627863412594.46000000
20220902,1,2,8225,0,0.000000,27998056960.07000000
20220902,1,3,33961,63,0.185507,214841621941.42000000
20220902,1,4,91698,21,0.022901,336379227799.48000000
20220902,1,5,1,0,0.000000,8285415.23000000
20220902,1,6,63337,10,0.015789,1838845501.31000000
20220902,1,7,24951,4,0.016031,121479610128.40000000
20220902,2,2,4058,0,0.000000,2742073981.93000000
20220902,2,3,13263,23,0.173415,8980357508.06000000
20220902,2,4,43625,7,0.016046,31039796799.90000000
20220902,2,5,4,0,0.000000,2821.91000000
20220902,2,6,30057,1,0.003327,156509602.45000000
20220902,2,7,11764,1,0.008501,10441887976.36000000
20220902,3,2,3647,0,0.000000,166435720622.43000000
20220902,3,3,11623,36,0.309731,971308352451.47000000
20220902,3,4,39409,10,0.025375,2230811343783.79000000
20220902,3,5,1,0,0.000000,5672928.24000000
20220902,3,6,27014,7,0.025912,18882000970.01000000
20220902,3,7,10808,8,0.074019,1287878845742.41000000
20220902,4,2,2016,0,0.000000,2569977740.62000000
20220902,4,3,6387,9,0.140911,22355130881.44000000
20220902,4,4,22902,3,0.013099,60561065725.24000000
20220902,4,5,2,0,0.000000,17497.08000000
20220902,4,6,15697,3,0.019112,243020152.24000000
20220902,4,7,6341,0,0.000000,22237780418.54000000
20220902,5,2,3686,0,0.000000,1068062089.26000000
20220902,5,3,13258,49,0.369588,5804306955.10000000
20220902,5,4,40780,4,0.009809,14096160090.45000000
20220902,5,5,1,0,0.000000,46870.86000000
20220902,5,6,27901,5,0.017921,84150121.23000000
20220902,5,7,11263,2,0.017757,5340024618.35000000
20220902,6,2,42153,0,0.000000,19691618063.64000000
20220902,6,3,159533,348,0.218137,165596092016.49000000
20220902,6,4,461363,76,0.016473,242392994094.37000000
20220902,6,5,17,0,0.000000,138006.96000000
20220902,6,6,317670,52,0.016369,1244136626.15000000
20220902,6,7,126666,31,0.024474,92029554735.73000000
20220902,7,2,3105,0,0.000000,404271909992.06000000
20220902,7,3,10938,24,0.219419,3105293127219.13000000
20220902,7,4,33950,3,0.008837,3692388992992.00000000
20220902,7,5,1,0,0.000000,18427132.51000000
20220902,7,6,23493,1,0.004257,26315501011.77000000
20220902,7,7,9329,3,0.032158,889633220818.75000000
20220902,8,2,26371,0,0.000000,11966104349.49000000
20220902,8,3,94335,242,0.256533,50578861534.73000000
20220902,8,4,289950,53,0.018279,125016357671.98000000
20220902,8,5,6,0,0.000000,456.00000000
20220902,8,6,201024,20,0.009949,670873443.82000000
20220902,8,7,79483,20,0.025163,50812226102.04000000
20220902,9,2,3,0,0.000000,0.05878700
20220902,9,3,11,0,0.000000,0.06130700
20220902,9,5,63097,15,0.023773,2017882.33011600
20220902,10,2,3416,0,0.000000,2255766021.39000000
20220902,10,3,10933,19,0.173786,16874971687.58000000
20220902,10,4,36965,8,0.021642,29124383822.00000000
20220902,10,5,1,0,0.000000,2008.86000000
20220902,10,6,25592,1,0.003907,143979922.90000000
20220902,10,7,10276,2,0.019463,7673812416.92000000
20220902,11,2,3073,0,0.000000,31223566678.48000000
20220902,11,3,9966,10,0.100341,154767061117.96000000
20220902,11,4,34015,9,0.026459,395941633630.31000000
20220902,11,6,23235,2,0.008608,2621718878.89000000
20220902,11,7,9227,2,0.021676,134393811489.01000000
20220902,12,2,5220,0,0.000000,17496036154.97000000
20220902,12,3,16466,25,0.151828,22416240867.34000000
20220902,12,4,57355,11,0.019179,123838589866.31000000
20220902,12,5,2,0,0.000000,64698.12000000
20220902,12,6,39120,5,0.012781,535469927.30000000
20220902,12,7,15797,6,0.037982,46540995238.94000000
20220902,13,2,2332,0,0.000000,3853936330.43000000
20220902,13,3,7349,7,0.095251,17615042153.78000000
20220902,13,4,25615,6,0.023424,72082298533.72000000
20220902,13,6,17461,4,0.022908,405642255.18000000
20220902,13,7,7136,2,0.028027,22632691085.13000000
20220902,14,2,3141,0,0.000000,1138434352.41000000
20220902,14,3,10355,12,0.115886,9626681235.44000000
20220902,14,4,34368,5,0.014548,18286590747.57000000
20220902,14,5,1,0,0.000000,8585.60000000
20220902,14,6,23310,6,0.025740,85113392.39000000
20220902,14,7,9482,0,0.000000,4838752791.39000000
20220902,15,2,2728,0,0.000000,96738862991.98000000
20220902,15,3,9254,27,0.291766,296696278374.59000000
20220902,15,4,29513,3,0.010165,1452871009092.83000000
20220902,15,5,1,0,0.000000,25785266.20000000
20220902,15,6,20223,4,0.019779,13130537448.19000000
20220902,15,7,8152,1,0.012267,506412831210.11000000
20220903,1,2,2116,0,0.000000,2444771226.32000000
20220903,1,3,9363,111,1.185517,165439443515.79000000
20220903,1,4,23396,3,0.012823,24786743768.66000000
20220903,1,5,1,0,0.000000,8285415.23000000
20220903,1,6,19310,2,0.010357,345801830.92000000
20220903,1,7,5951,0,0.000000,9373659530.76000000
20220903,2,2,1054,0,0.000000,142754817.82000000
20220903,2,3,3636,20,0.550055,6250466750.39000000
20220903,2,4,11353,0,0.000000,2681238397.96000000
20220903,2,5,1,0,0.000000,164.55000000
20220903,2,6,9289,1,0.010765,29675122.58000000
20220903,2,7,2858,0,0.000000,667941256.93000000
20220903,3,2,929,0,0.000000,11256802860.78000000
20220903,3,3,3155,47,1.489699,175481735008.13000000
20220903,3,4,10320,2,0.019380,352004606447.94000000
20220903,3,6,8345,0,0.000000,3066690892.38000000
20220903,3,7,2610,1,0.038314,264142599411.09000000
20220903,4,2,514,0,0.000000,279260909.67000000
20220903,4,3,1813,7,0.386100,2624598874.18000000
20220903,4,4,5933,0,0.000000,2559035225.48000000
20220903,4,5,1,0,0.000000,715.92000000
20220903,4,6,4874,1,0.020517,45560044.04000000
20220903,4,7,1525,1,0.065574,1035027066.24000000
20220903,5,2,948,0,0.000000,104322563.69000000
20220903,5,3,3939,65,1.650165,940727590.11000000
20220903,5,4,10495,4,0.038113,1244199736.67000000
20220903,5,6,8578,2,0.023315,16030865.23000000
20220903,5,7,2737,0,0.000000,585320348.21000000
20220903,6,2,10605,0,0.000000,1466786330.96000000
20220903,6,3,45928,481,1.047291,60872376602.47000000
20220903,6,4,119095,20,0.016793,19640792451.21000000
20220903,6,5,2,0,0.000000,646.16000000
20220903,6,6,97784,12,0.012272,235274432.80000000
20220903,6,7,30258,9,0.029744,7866264882.09000000
20220903,7,2,761,0,0.000000,34122883365.95000000
20220903,7,3,2807,35,1.246883,99324901911.26000000
20220903,7,4,8760,0,0.000000,436953029531.51000000
20220903,7,6,7411,1,0.013493,5090874990.71000000
20220903,7,7,2233,0,0.000000,75530072970.22000000
20220903,8,2,6643,0,0.000000,888801480.85000000
20220903,8,3,27809,355,1.276565,19094729946.70000000
20220903,8,4,74801,9,0.012032,8935376338.90000000
20220903,8,5,2,0,0.000000,291.30000000
20220903,8,6,62239,6,0.009640,127015724.24000000
20220903,8,7,19032,9,0.047289,3157707898.20000000
20220903,9,2,4,0,0.000000,0.01671000
20220903,9,3,16,0,0.000000,0.07727400
20220903,9,5,18347,13,0.070856,309776.13745900
20220903,10,2,852,0,0.000000,177653659.52000000
20220903,10,3,3050,33,1.081967,826907569.63000000
20220903,10,4,9638,3,0.031127,2679255572.94000000
20220903,10,6,7816,0,0.000000,27245045.97000000
20220903,10,7,2474,0,0.000000,811834713.93000000
20220903,11,2,760,0,0.000000,1962379315.82000000
20220903,11,3,2906,15,0.516173,14185203173.91000000
20220903,11,4,8803,4,0.045439,28658294323.83000000
20220903,11,6,7153,1,0.013980,491779350.57000000
20220903,11,7,2222,0,0.000000,13009103970.47000000
20220903,12,2,1280,0,0.000000,1037543887.81000000
20220903,12,3,4884,25,0.511876,8657576051.22000000
20220903,12,4,14716,5,0.033977,7602632595.12000000
20220903,12,5,1,0,0.000000,300.00000000
20220903,12,6,11861,3,0.025293,100357189.71000000
20220903,12,7,3775,1,0.026490,3053597549.04000000
20220903,13,2,600,0,0.000000,290849051.35000000
20220903,13,3,1745,10,0.573066,6902192389.52000000
20220903,13,4,6593,0,0.000000,4990399363.50000000
20220903,13,6,5397,0,0.000000,77547302.29000000
20220903,13,7,1661,0,0.000000,2064951018.08000000
20220903,14,2,811,0,0.000000,76802161.83000000
20220903,14,3,2977,15,0.503863,2191461245.86000000
20220903,14,4,8914,0,0.000000,1010152826.64000000
20220903,14,6,7110,0,0.000000,16146088.45000000
20220903,14,7,2248,2,0.088968,488237417.49000000
20220903,15,2,714,0,0.000000,10237680215.67000000
20220903,15,3,2696,36,1.335312,19993249502.10000000
20220903,15,4,7582,2,0.026378,188502101724.97000000
20220903,15,6,6165,0,0.000000,2719629145.62000000
20220903,15,7,1973,1,0.050684,28317829412.96000000
20220904,1,2,2117,0,0.000000,2444771224.46000000
20220904,1,3,9981,106,1.062018,41081607134.43000000
20220904,1,4,23404,1,0.004273,24482033587.95000000
20220904,1,5,1,0,0.000000,8285415.23000000
20220904,1,6,19300,2,0.010363,345811237.14000000
20220904,1,7,5951,0,0.000000,9373659530.76000000
20220904,2,2,1054,0,0.000000,142754817.82000000
20220904,2,3,3461,26,0.751228,1725548908.47000000
20220904,2,4,11359,1,0.008804,2691857859.23000000
20220904,2,5,1,0,0.000000,164.55000000
20220904,2,6,9293,3,0.032282,29688854.51000000
20220904,2,7,2858,0,0.000000,667941256.93000000
20220904,3,2,929,0,0.000000,11256802860.78000000
20220904,3,3,3248,55,1.693350,113531888395.79000000
20220904,3,4,10331,0,0.000000,357380285012.87000000
20220904,3,6,8337,1,0.011995,3067013357.63000000
20220904,3,7,2610,0,0.000000,264142599411.09000000
20220904,4,2,514,0,0.000000,279260909.67000000
20220904,4,3,1884,13,0.690021,3044081468.07000000
20220904,4,4,5929,4,0.067465,2567402934.61000000
20220904,4,5,1,0,0.000000,715.92000000
20220904,4,6,4881,0,0.000000,45563286.89000000
20220904,4,7,1525,1,0.065574,1035027066.24000000
20220904,5,2,947,0,0.000000,104322563.67000000
20220904,5,3,3675,65,1.768707,1456787486.59000000
20220904,5,4,10508,1,0.009517,1274126042.37000000
20220904,5,6,8560,1,0.011682,15809002.42000000
20220904,5,7,2737,0,0.000000,585320348.21000000
20220904,6,2,10605,0,0.000000,1466785816.99000000
20220904,6,3,46724,566,1.211369,27993295176.91000000
20220904,6,4,119089,31,0.026031,20667468845.37000000
20220904,6,5,2,0,0.000000,646.16000000
20220904,6,6,97755,15,0.015344,235578904.87000000
20220904,6,7,30258,6,0.019829,7866264882.09000000
20220904,7,2,761,0,0.000000,34122883365.95000000
20220904,7,3,3083,47,1.524489,111797334559.48000000
20220904,7,4,8762,0,0.000000,438250274806.82000000
20220904,7,6,7416,1,0.013484,5089636056.88000000
20220904,7,7,2233,0,0.000000,75530072970.22000000
20220904,8,2,6646,0,0.000000,888801480.97000000
20220904,8,3,28255,427,1.511237,9944170263.66000000
20220904,8,4,74750,16,0.021405,9190227367.67000000
20220904,8,5,2,0,0.000000,291.30000000
20220904,8,6,62250,8,0.012851,127117188.81000000
20220904,8,7,19032,2,0.010509,3157707898.20000000
20220904,9,2,1,0,0.000000,0.00016400
20220904,9,3,10,0,0.000000,0.03570900
20220904,9,5,18329,11,0.060014,135131.83223800
20220904,10,2,852,0,0.000000,177653659.52000000
20220904,10,3,3174,30,0.945180,8452687490.57000000
20220904,10,4,9636,0,0.000000,2671141392.22000000
20220904,10,6,7828,1,0.012775,27319574.08000000
20220904,10,7,2474,1,0.040420,811834713.93000000
20220904,11,2,760,0,0.000000,1962379315.82000000
20220904,11,3,2771,18,0.649585,17868706944.09000000
20220904,11,4,8790,0,0.000000,35145381988.37000000
20220904,11,6,7156,0,0.000000,491974234.60000000
20220904,11,7,2222,0,0.000000,13009103970.47000000
20220904,12,2,1280,0,0.000000,1037543887.81000000
20220904,12,3,4468,29,0.649060,3146359727.68000000
20220904,12,4,14715,2,0.013592,7588002685.90000000
20220904,12,5,1,0,0.000000,300.00000000
20220904,12,6,11866,1,0.008427,100720428.37000000
20220904,12,7,3775,0,0.000000,3053597549.04000000
20220904,13,2,600,0,0.000000,290849051.35000000
20220904,13,3,2252,8,0.355240,3218675067.58000000
20220904,13,4,6574,2,0.030423,4963723284.06000000
20220904,13,6,5394,1,0.018539,77491959.02000000
20220904,13,7,1661,0,0.000000,2064951018.08000000
20220904,14,2,811,0,0.000000,76802161.83000000
20220904,14,3,2878,13,0.451703,2456087650.53000000
20220904,14,4,8917,0,0.000000,1005146623.58000000
20220904,14,6,7120,1,0.014045,16153754.86000000
20220904,14,7,2248,2,0.088968,488237417.49000000
20220904,15,2,714,0,0.000000,10237680215.67000000
20220904,15,3,2599,28,1.077337,82906600227.01000000
20220904,15,4,7575,0,0.000000,188443076950.91000000
20220904,15,6,6164,1,0.016223,2719064006.91000000
20220904,15,7,1973,1,0.050684,28317829412.96000000
20220905,1,2,5329,0,0.000000,6819803308.28000000
20220905,1,3,19370,132,0.681466,73197569196.83000000
20220905,1,4,58757,11,0.018721,87047750487.09000000
20220905,1,5,1,0,0.000000,8285415.23000000
20220905,1,6,42064,6,0.014264,949712199.14000000
20220905,1,7,15031,5,0.033265,28312094892.42000000
20220905,2,2,2620,0,0.000000,453822134.42000000
20220905,2,3,6978,30,0.429923,1668151020.88000000
20220905,2,4,27996,6,0.021432,7016348264.89000000
20220905,2,5,2,0,0.000000,179.54000000
20220905,2,6,20110,3,0.014918,79072194.63000000
20220905,2,7,7092,1,0.014100,2520354568.52000000
20220905,3,2,2362,0,0.000000,46202010258.28000000
20220905,3,3,6427,65,1.011358,140661795611.50000000
20220905,3,4,25431,2,0.007864,833318387168.32000000
20220905,3,6,18040,4,0.022173,9092321578.26000000
20220905,3,7,6476,3,0.046325,653322247872.20000000
20220905,4,2,1295,0,0.000000,1159370054.23000000
20220905,4,3,3526,4,0.113443,5366312741.40000000
20220905,4,4,14777,3,0.020302,9792189350.68000000
20220905,4,5,1,0,0.000000,715.92000000
20220905,4,6,10578,1,0.009454,127603448.78000000
20220905,4,7,3884,2,0.051493,5504201445.49000000
20220905,5,2,2409,0,0.000000,368931596.03000000
20220905,5,3,7520,80,1.063830,2170732781.89000000
20220905,5,4,26318,5,0.018998,4117478505.63000000
20220905,5,6,18757,6,0.031988,42813031.91000000
20220905,5,7,6805,0,0.000000,1420733868.56000000
20220905,6,2,27277,0,0.000000,4799227485.32000000
20220905,6,3,93179,629,0.675045,88941767767.00000000
20220905,6,4,297310,54,0.018163,60009216071.89000000
20220905,6,5,10,0,0.000000,4472.58000000
20220905,6,6,212958,33,0.015496,640902095.45000000
20220905,6,7,77007,14,0.018180,21963360445.42000000
20220905,7,2,1993,0,0.000000,150194509005.10000000
20220905,7,3,5798,49,0.845119,485290601575.38000000
20220905,7,4,21933,5,0.022797,1377328914963.06000000
20220905,7,6,15807,2,0.012653,11760731929.70000000
20220905,7,7,5668,0,0.000000,277022458820.90000000
20220905,8,2,17031,0,0.000000,2738232374.78000000
20220905,8,3,54093,440,0.813414,33002926919.41000000
20220905,8,4,186832,31,0.016592,28266640637.16000000
20220905,8,5,4,0,0.000000,300.53000000
20220905,8,6,135046,22,0.016291,345176613.88000000
20220905,8,7,48294,7,0.014495,10291844905.99000000
20220905,9,2,2,0,0.000000,0.00362000
20220905,9,3,13,0,0.000000,0.08234400
20220905,9,5,42782,21,0.049086,1348025.85702200
20220905,10,2,2222,0,0.000000,673876991.10000000
20220905,10,3,5969,35,0.586363,2398547650.77000000
20220905,10,4,24133,4,0.016575,7613118897.47000000
20220905,10,5,1,0,0.000000,2008.86000000
20220905,10,6,17230,2,0.011608,74534880.84000000
20220905,10,7,6259,1,0.015977,2249108387.49000000
20220905,11,2,1974,0,0.000000,5352172317.15000000
20220905,11,3,5310,16,0.301318,24915609404.44000000
20220905,11,4,22000,3,0.013636,95229281475.52000000
20220905,11,6,15642,3,0.019179,1295052241.56000000
20220905,11,7,5677,2,0.035230,34368794789.69000000
20220905,12,2,3342,0,0.000000,3215106834.37000000
20220905,12,3,9062,30,0.331053,9089076920.59000000
20220905,12,4,36981,8,0.021633,29557869824.05000000
20220905,12,5,1,0,0.000000,300.00000000
20220905,12,6,26129,6,0.022963,275759166.95000000
20220905,12,7,9612,3,0.031211,10453285249.64000000
20220905,13,2,1533,0,0.000000,1019555575.95000000
20220905,13,3,4175,11,0.263473,27962902550.84000000
20220905,13,4,16468,3,0.018217,17239615610.72000000
20220905,13,6,11716,2,0.017071,212554194.05000000
20220905,13,7,4364,0,0.000000,7311098900.77000000
20220905,14,2,2013,0,0.000000,446300836.36000000
20220905,14,3,5625,10,0.177778,1844967751.31000000
20220905,14,4,22115,2,0.009044,3757056106.51000000
20220905,14,5,1,0,0.000000,8585.60000000
20220905,14,6,15585,2,0.012833,42944686.04000000
20220905,14,7,5739,1,0.017425,1316977751.79000000
20220905,15,2,1746,0,0.000000,33112704000.60000000
20220905,15,3,5188,35,0.674634,443507450687.12000000
20220905,15,4,19189,6,0.031268,464170437766.51000000
20220905,15,5,1,0,0.000000,25785266.20000000
20220905,15,6,13602,1,0.007352,6518273485.40000000
20220905,15,7,5002,1,0.019992,100602039689.94000000
20220906,1,2,5327,0,0.000000,6819803300.60000000
20220906,1,3,19866,141,0.709755,42572183741.28000000
20220906,1,4,58743,9,0.015321,87117508251.88000000
20220906,1,5,1,0,0.000000,8285415.23000000
20220906,1,6,42064,4,0.009509,949777528.01000000
20220906,1,7,15031,3,0.019959,28312094892.42000000
20220906,2,2,2619,0,0.000000,453822134.04000000
20220906,2,3,7294,19,0.260488,1568303065.95000000
20220906,2,4,27988,9,0.032157,6903761234.75000000
20220906,2,5,2,0,0.000000,179.54000000
20220906,2,6,20109,6,0.029837,79065945.71000000
20220906,2,7,7092,2,0.028201,2520354568.52000000
20220906,3,2,2362,0,0.000000,46202010258.28000000
20220906,3,3,6441,62,0.962583,344645333197.18000000
20220906,3,4,25420,6,0.023603,833134001492.62000000
20220906,3,6,18044,6,0.033252,9090125252.16000000
20220906,3,7,6476,0,0.000000,653322247872.20000000
20220906,4,2,1295,0,0.000000,1159370054.23000000
20220906,4,3,3946,11,0.278763,4505131026.75000000
20220906,4,4,14782,0,0.000000,9801282705.46000000
20220906,4,5,1,0,0.000000,715.92000000
20220906,4,6,10576,0,0.000000,127584911.66000000
20220906,4,7,3884,1,0.025747,5504201445.49000000
20220906,5,2,2407,0,0.000000,368931595.82000000
20220906,5,3,7508,83,1.105487,8185261319.65000000
20220906,5,4,26317,5,0.018999,4081225741.58000000
20220906,5,6,18741,2,0.010672,42826517.43000000
20220906,5,7,6805,1,0.014695,1420733868.56000000
20220906,6,2,27290,0,0.000000,4799224479.47000000
20220906,6,3,91966,732,0.795946,66531683396.06000000
20220906,6,4,297292,64,0.021528,59371100327.71000000
20220906,6,5,10,0,0.000000,4472.58000000
20220906,6,6,212976,33,0.015495,640818334.37000000
20220906,6,7,77007,8,0.010389,21963360445.42000000
20220906,7,2,1992,0,0.000000,150194509003.53000000
20220906,7,3,6015,67,1.113882,1048236476728.29000000
20220906,7,4,21928,2,0.009121,1236221683513.61000000
20220906,7,6,15808,4,0.025304,11759272868.48000000
20220906,7,7,5668,0,0.000000,277022458820.90000000
20220906,8,2,17038,0,0.000000,2738232317.61000000
20220906,8,3,54473,523,0.960109,34093139134.21000000
20220906,8,4,186870,31,0.016589,28282989319.26000000
20220906,8,5,4,0,0.000000,300.53000000
20220906,8,6,135041,14,0.010367,345192599.75000000
20220906,8,7,48294,3,0.006212,10291844905.99000000
20220906,9,2,7,0,0.000000,0.06404700
20220906,9,3,15,0,0.000000,0.07030300
20220906,9,5,42597,17,0.039909,479513.51733500
20220906,10,2,2221,0,0.000000,673876812.90000000
20220906,10,3,5638,34,0.603051,8765040142.53000000
20220906,10,4,24127,2,0.008289,7612734087.47000000
20220906,10,5,1,0,0.000000,2008.86000000
20220906,10,6,17227,2,0.011610,74549173.81000000
20220906,10,7,6259,1,0.015977,2249108387.49000000
20220906,11,2,1974,0,0.000000,5352172317.15000000
20220906,11,3,5475,13,0.237443,72289424272.19000000
20220906,11,4,22006,2,0.009088,95233178688.45000000
20220906,11,6,15641,5,0.031967,1295439734.43000000
20220906,11,7,5677,1,0.017615,34368794789.69000000
20220906,12,2,3341,0,0.000000,3215106834.32000000
20220906,12,3,9042,18,0.199071,70654311581.55000000
20220906,12,4,36973,8,0.021637,28653605453.40000000
20220906,12,5,1,0,0.000000,300.00000000
20220906,12,6,26127,2,0.007655,275776338.60000000
20220906,12,7,9612,0,0.000000,10453285249.64000000
20220906,13,2,1533,0,0.000000,1019555575.95000000
20220906,13,3,4134,11,0.266086,7571941147.46000000
20220906,13,4,16464,4,0.024295,17238660459.81000000
20220906,13,6,11717,4,0.034138,212542943.54000000
20220906,13,7,4364,0,0.000000,7311098900.77000000
20220906,14,2,2014,0,0.000000,446300836.79000000
20220906,14,3,5807,16,0.275530,1791614671.04000000
20220906,14,4,22119,3,0.013563,3757867789.76000000
20220906,14,5,1,0,0.000000,8585.60000000
20220906,14,6,15587,2,0.012831,43022466.33000000
20220906,14,7,5739,0,0.000000,1316977751.79000000
20220906,15,2,1746,0,0.000000,33112704000.60000000
20220906,15,3,5273,35,0.663759,533725136950.29000000
20220906,15,4,19203,4,0.020830,464707166773.95000000
20220906,15,5,1,0,0.000000,25785266.20000000
20220906,15,6,13612,5,0.036732,6518383537.27000000
20220906,15,7,5002,1,0.019992,100602039689.94000000
20220907,1,2,5333,0,0.000000,6819803315.51000000
20220907,1,3,19458,145,0.745195,51096218895.96000000
20220907,1,4,58736,14,0.023835,87486774625.88000000
20220907,1,5,1,0,0.000000,8285415.23000000
20220907,1,6,42064,4,0.009509,949597793.49000000
20220907,1,7,15031,2,0.013306,28312094892.42000000
20220907,2,2,2620,0,0.000000,453822134.21000000
20220907,2,3,7226,21,0.290617,2974003284.95000000
20220907,2,4,27984,9,0.032161,6912541320.69000000
20220907,2,5,2,0,0.000000,179.54000000
20220907,2,6,20100,8,0.039801,79180483.05000000
20220907,2,7,7092,0,0.000000,2520354568.52000000
20220907,3,2,2362,0,0.000000,46202010258.28000000
20220907,3,3,6452,79,1.224427,155851479771.54000000
20220907,3,4,25432,6,0.023592,833141120878.94000000
20220907,3,6,18045,1,0.005542,9089348083.09000000
20220907,3,7,6476,1,0.015442,653322247872.20000000
20220907,4,2,1295,0,0.000000,1159370054.23000000
20220907,4,3,3757,6,0.159702,14681667968.85000000
20220907,4,4,14787,6,0.040576,9894282108.07000000
20220907,4,5,1,0,0.000000,715.92000000
20220907,4,6,10582,0,0.000000,127597643.25000000
